Type,RA,Dec,pmRA,pmDec,V,B,Dist,RV,Spec,Comp,Delta,Sep,PA,Year,T,a,e,i,w,n,P,Vtype,Vmin,Vmax,Vper,Vepoch,IDs,Names
DS,12 41 39.64,-01 26 57.8,-0.04113,+0.0607,+3.48,+3.84,1.183E+01,-19.5,F0V,AB,+0.02,2.9,357.4,2020.00,2005.5096,3.6390,0.8815,149.46,255.02,35.34,169.104000,,,,,,gamma Vir;29 Vir;HR 4825;GJ 482A;HD 110379;SAO 138917;BD -00 2601;WDS 12417-0127;HIP 61941;TYC 4949-1120-1,Porrima
DS,07 08 44.87,-70 29 56.2,+0.00472,+0.1087,+3.76,+4.78,4.085E+01,+2.8,K0III,A,+1.89,13.6,297.0,1977.00,,,,,,,,,,,,,gamma2 Vol;HR 2736;HD 55865;SAO 256374;CP -70 600;WDS 07087-7030;HIP 34481;TYC 9182-1411-1;GAIA 5267405895350690304,
DS,00 54 58.11,+23 37 42.0,+0.00997,-0.0456,+5.50,+6.51,3.893E+01,+0.4,K1IV,AB,+0.38,1.2,334.5,2020.00,1956.1903,0.9837,0.3060,44.57,358.62,173.66,167.509925,,,,,,36 And;HR 258;HD 5286;SAO 74359;BD +22 146;WDS 00550+2338;HIP 4288;TYC 1739-2318-1,
DS,01 13 43.89,+07 34 31.3,+0.00960,-0.0531,+5.20,+5.48,4.088E+01,+15.0,A7IV,A,+1.03,22.9,63.0,1986.00,,,,,,,,,,,,,zeta Psc;86 Psc;HR 361;HD 7344;SAO 109739;BD +06 174;WDS 01137+0735;HIP 5737;TYC 0613-1249-1;GAIA 2577061092921353984,Revati
DS,01 49 35.10,-10 41 11.1,-0.01003,-0.0935,+4.66,+5.01,2.348E+01,+1.8,F3III,A,+2.12,183.8,250.0,1916.00,,,,,,,,,,,,,chi Cet;53 Cet;HR 531;GJ 9061A;HD 11171;SAO 148036;BD -11 352;WDS 01496-1041;HIP 8497;TYC 5278-2438-1;GAIA 2461043306017773696,
DS,01 50 08.57,+22 16 31.2,-0.00103,-0.0076,+5.83,+6.57,1.795E+02,+6.8,K1III,A,+1.20,2.9,164.0,1992.00,,,,,,,,,,,,,1 Ari;HR 530;HD 11154;SAO 74966;BD +21 243;WDS 01501+2217;HIP 8544;TYC 1212-1934-1;GAIA 98209860357332608,
DV,02 29 03.57,+67 24 06.8,-0.00213,+0.0066,+6.71,+7.12,4.529E+01,+1.2,,BA,+2.27,2.8,227.9,2020.00,1680.0958,5.9412,0.8286,110.53,118.68,152.89,1798.368100,ACV,+4.45,+4.53,1.74,,iota Cas;BD +66 213;WDS 02291+6724;HIP 11569;TYC 4058-1504-1;GAIA 517650349234855424,
DS,02 59 12.68,+21 20 24.3,-0.00114,-0.0072,+4.63,+4.68,1.107E+02,-7.9,A2Vs,BA,+0.33,1.3,210.1,2020.00,2098.2996,1.6688,0.4353,83.89,268.18,29.95,710.542500,,,,,,epsilon Ari;48 Ari;HR 887;HD 18519;SAO 75673;BD +20 484;WDS 02592+2120;HIP 13914;TYC 1230-1424-1;GAIA 108589696800254464,
DV,05 06 08.45,+58 58 20.5,-0.00081,-0.0071,+5.23,+5.12,2.103E+02,-11.0,B2.5Ve,A,+1.10,179.8,8.0,1924.00,,,,,,,,BE,+5.10,+5.22,,,11 Cam;BV Cam;HR 1622;HD 32343;SAO 25001;BD +58 804;WDS 05061+5858;HIP 23734;TYC 3746-2216-1;GAIA 283924349317110400,
SS,05 21 45.75,-00 22 56.9,-0.00001,+0.0016,+4.72,+4.56,3.498E+02,+27.9,B2IV-V,,,,,,,,,,,,,,,,,,o Ori;22 Ori;HR 1765;HD 35039;SAO 132028;BD -00 930;HIP 25044;TYC 4752-1608-1;GAIA 3221269181884277504,
DS,05 30 47.05,+05 56 53.3,+0.00044,-0.0325,+4.23,+4.10,9.285E+01,+18.6,B5V,,+1.20,1.1,47.0,1992.00,,,,,,,,,,,,,32 Ori;HR 1839;HD 36267;SAO 112849;BD +05 939;WDS 05308+0557;HIP 25813;TYC 0126-1899-1;GAIA 3237714611659033728,
DS,05 35 02.68,-06 00 07.3,+0.00007,+0.0017,+4.76,+4.53,3.822E+02,+27.7,B0.5V,A,+0.89,36.2,223.0,1962.00,,,,,,,,,,,,,HR 1887;HD 36960;SAO 132301;BD -06 1234;WDS 05350-0600;HIP 26199;TYC 4778-1403-1;GAIA 3017187866581304832,
DS,05 35 23.16,-04 50 18.1,-0.00028,-0.0020,+4.60,+4.41,1.535E+02,+30.0,B1V,AB,+3.20,1.5,207.0,1968.00,,,,,,,,,,,,,c Ori;42 Ori;HR 1892;HD 37018;SAO 132320;BD -04 1185;WDS 05354-0450;HIP 26237;TYC 4774-0928-1;GAIA 3209572852067563392,
DS,05 48 00.23,+06 27 15.0,+0.00011,-0.0235,+5.30,+5.52,1.253E+02,+22.7,A5V,,+0.00,1.3,217.0,1990.00,,,,,,,,,,,,,52 Ori;HR 1999;HD 38710;SAO 113150;BD +06 1027;WDS 05480+0627;HIP 27386;TYC 0128-1551-1;GAIA 3321343225549328000,
DS,06 56 06.65,-14 02 36.3,-0.00008,+0.0064,+4.97,+6.16,2.922E+02,+18.3,G5III+A2,AB,+3.00,2.8,342.0,1980.00,,,,,,,,,,,,,mu CMa;18 CMa;HR 2593;HD 51250;SAO 152123;BD -13 1741;WDS 06561-1403;HIP 33345;TYC 5392-0913-1;GAIA 2949326146358060416,
DV,07 18 18.39,-36 44 02.3,-0.00087,+0.0059,+4.71,+4.59,2.860E+02,+18.6,B2V,A,+0.50,239.9,97.0,1936.00,,,,,,,,GCAS,+4.58,+4.78,,,NV Pup;HR 2787;HD 57150;SAO 197824;CD -36 3512;WDS 07183-3644;HIP 35363;TYC 7115-3016-1;GAIA 5589411172768195840,
DS,07 22 52.05,+55 16 53.0,-0.00034,-0.0311,+5.80,+5.70,1.955E+02,+5.2,B8V,A,+1.10,15.0,315.0,1985.00,,,,,,,,,,,,,19 Lyn;HR 2784;HD 57103;SAO 26312;BD +55 1192;WDS 07229+5517;HIP 35785;TYC 3785-1697-1;GAIA 987326158587778432,
DS,07 34 18.62,-23 28 25.2,-0.00641,-0.0009,+6.02,,3.054E+01,-4.7,dF4,A,+0.10,9.6,115.0,1983.00,,,,,,,,,,,,,HR 2909;HD 60584;SAO 174019;CD -23 5709;WDS 07343-2328;HIP 36817;TYC 6539-3802-1;GAIA 5618420137803147008,
DS,08 26 47.07,+26 56 07.8,-0.00056,+0.0012,+6.17,+6.38,1.058E+02,-56.6,A3V,A,+0.05,5.2,218.0,2000.00,,,,,,,,,,,,,phi2 Cnc;23 Cnc;HR 3311;HD 71151;SAO 80188;BD +27 1612;WDS 08268+2656;HIP 41404;TYC 1944-2323-1;GAIA 680022210631907456,
DS,08 54 14.73,+30 34 44.8,+0.00319,-0.0233,+5.42,+6.48,1.157E+02,-60.1,G7III,AB,+0.21,1.5,309.2,2020.00,2351.9271,3.6152,0.7960,104.57,254.31,91.15,2336.145600,,,,,,57 Cnc;HR 3532;HD 75959;SAO 61125;BD +31 1907;WDS 08542+3035;HIP 43721;TYC 2485-2096-1;GAIA 705832627619469056,
DV,14 42 30.42,-64 58 30.5,-0.03036,-0.2341,+3.18,+3.45,1.640E+01,+7.2,F0VSr,A,+5.29,15.6,227.0,1990.00,,,,,,,,ACVO,+3.18,+3.21,,,alpha Cir;HR 5463;GJ 560A;HD 128898;SAO 252853;CP -64 2977;WDS 14425-6459;HIP 71908;TYC 9015-1445-1,
DS,22 27 19.97,-64 57 58.9,+0.01114,+0.0089,+4.50,+4.48,8.622E+01,+5.3,B9.5V,Aa,+4.50,6.9,282.0,1978.00,,,,,,,,,,,,,delta Tuc;HR 8540;HD 212581;SAO 255222;CP -65 4044;WDS 22273-6458;HIP 110838;TYC 9120-1918-1;GAIA 6404338508024243200,
DS,20 21 00.68,-14 46 52.9,+0.00334,+0.0140,+3.09,+3.86,1.055E+02,-19.0,G9II:+B8p:Si:,Aa,+3.10,205.3,267.0,1922.00,,,,,,,,,,,,,beta1 Cap;9 Cap;HR 7776;HD 193495;SAO 163481;BD -15 5629;WDS 20210-1447;HIP 100345;TYC 5753-2281-1,Dabih
