Type,q,e,i,w,N,M,n,wrate,Nrate,RA,Dec,Epoch,H,G,Radius,Mass,Rotation,Albedo,NAIF ID,Name
MN,294643,0.0001,1.091,45.202,259.842,243.367,190.1042396,144.578,72.260,40.578,83.537,2451545.0,0.65,,533.0,6.1739E+20,1.888,1.229,603,Tethys
MN,376585,0.0022,0.028,284.315,290.415,322.232,131.2823283,61.517,30.746,40.544,83.540,2451545.0,0.85,,561.7,1.0955E+21,2.737,0.998,604,Dione
MN,526963,0.0002,0.333,241.619,351.042,179.781,79.6075958,20.068,10.047,40.328,83.559,2451545.0,0.05,,764.3,2.3065E+21,4.518,0.949,605,Rhea
MN,1186675,0.0288,0.306,180.532,28.060,163.310,22.5727776,1.022,0.511,36.214,83.949,2451545.0,-1.15,,2574.7,1.3452E+23,15.950,0.200,606,Titan
MN,1466111,0.0232,0.615,303.178,263.847,86.342,16.9058766,2.813,2.328,36.372,83.862,2451545.0,4.85,,135.0,5.5841E+18,,0.300,607,Hyperion
MN,3456521,0.0293,8.298,271.606,81.105,201.789,4.5370671,0.215,0.105,284.715,78.749,2451545.0,1.45,,735.6,1.8055E+21,79.330,0.600,608,Iapetus
MN,10832228,0.1634,175.243,342.500,241.086,53.038,0.6534101,0.781,0.498,275.954,67.455,2451545.0,6.85,,106.5,8.2885E+18,0.386,0.081,609,Phoebe
MN,149966,0.0098,0.165,16.012,154.175,17.342,512.1915073,1500.000,746.888,40.585,83.538,2451545.0,4.85,,89.5,1.8923E+18,0.695,0.710,610,Janus
MN,149012,0.0161,0.353,88.975,192.762,80.377,511.9463236,1500.000,746.888,40.585,83.538,2451545.0,6.05,,58.1,5.2590E+17,0.695,0.730,611,Epimetheus
MN,377444,0.0000,0.213,33.134,163.112,43.186,131.0660225,140.515,30.753,40.544,83.540,2451545.0,8.85,,17.6,1.1387E+16,2.737,1.670,612,Helene
MN,294661,0.0002,1.180,119.135,229.182,260.157,190.1040785,144.636,72.260,40.578,83.537,2451545.0,8.95,,12.4,4.0454E+15,1.888,1.000,613,Telesto
MN,294574,0.0005,1.500,17.470,314.226,156.660,190.1037998,144.753,72.246,40.578,83.537,2451545.0,9.15,,10.7,2.5471E+15,1.888,1.340,614,Calypso
MN,137622,0.0011,0.003,210.851,236.422,283.282,589.6856614,2105.263,1046.512,40.585,83.538,2451545.0,9.45,,15.1,6.5925E+15,0.602,0.400,615,Atlas
MN,139122,0.0022,0.007,37.514,319.176,96.886,579.0342450,2011.173,1002.786,40.585,83.538,2451545.0,6.25,,43.1,1.6092E+17,0.613,0.600,616,Prometheus
MN,141214,0.0042,0.050,66.248,147.272,125.112,565.0134230,1894.737,944.882,40.585,83.538,2451545.0,6.85,,40.7,1.3844E+17,0.629,0.500,617,Pandora
MN,133585,0.0000,0.000,103.331,52.076,351.187,616.4418344,2337.662,1165.049,40.583,83.538,2451545.0,9.85,,14.1,4.9443E+15,0.575,0.500,618,Pan
MN,15407874,0.3338,173.497,21.352,192.937,228.673,0.2656562,1.654,1.297,270.000,66.561,2451544.5,12.35,,9.0,4.9443E+15,1315.130,0.060,619,Ymir
MN,10148670,0.3325,46.228,237.522,330.022,321.654,0.5205061,0.625,0.672,270.000,66.561,2451544.5,11.55,,11.0,8.2406E+15,686.950,0.060,620,Paaliaq
MN,8424617,0.5382,33.725,274.104,102.504,265.783,0.3799360,1.854,1.319,270.000,66.561,2451544.5,13.15,,7.5,2.6969E+15,926.350,0.060,621,Tarvos
MN,8308446,0.2717,47.485,92.899,130.779,17.328,0.7963614,0.026,0.385,270.000,66.561,2451544.5,13.05,,6.0,1.1986E+15,451.420,0.060,622,Ijiraq
MN,17250595,0.1139,175.815,34.281,227.259,321.133,0.3482783,1.230,0.895,270.000,66.561,2451544.5,14.35,,3.5,2.0976E+14,1016.680,0.060,623,Suttungr
MN,7598820,0.3325,46.764,90.205,353.584,172.018,0.8001736,0.018,0.428,270.000,66.561,2451544.5,12.55,,8.0,3.2962E+15,449.220,0.060,624,Kiviuq
MN,14741466,0.2097,167.439,309.694,82.856,92.821,0.3723142,1.153,0.863,270.000,66.561,2451544.5,14.25,,3.5,2.0976E+14,952.800,0.060,625,Mundilfari
MN,8529278,0.4797,34.060,55.932,102.512,32.828,0.4528062,1.441,1.005,270.000,66.561,2451544.5,10.95,,16.0,2.0976E+16,783.460,0.060,626,Albiorix
MN,11385407,0.2718,152.633,203.517,286.599,114.689,0.4905575,0.759,0.659,270.000,66.561,2451544.5,14.05,,4.0,3.1464E+14,728.100,0.060,627,Skathi
MN,9290336,0.4722,34.481,282.522,150.985,294.829,0.4057249,1.637,1.113,270.000,66.561,2451544.5,13.85,,5.0,7.6413E+14,871.140,0.060,628,Erriapus
MN,13087404,0.2802,45.809,65.929,47.826,201.288,0.3976818,0.787,0.793,270.000,66.561,2451544.5,10.35,,20.0,3.8955E+16,895.510,0.060,629,Siarnaq
MN,10905254,0.4659,177.659,125.404,285.762,30.075,0.3285344,0.411,0.003,270.000,66.561,2451544.5,14.35,,3.5,2.0976E+14,1092.010,0.060,630,Thrymr
MN,11036670,0.4296,145.731,169.959,174.435,114.172,0.3528631,1.055,1.036,270.000,66.561,2451544.5,14.25,,3.5,3.4461E+14,1003.940,0.040,631,Narvi
MN,194402,0.0000,0.013,134.636,313.562,71.189,351.8012747,1440.000,310.881,40.589,83.536,2451545.0,0.00,,1.6,8.9897E+12,1.010,?,632,Methone
MN,211433,0.0040,0.001,16.074,123.180,356.229,310.3646319,417.633,189.573,40.579,83.537,2451545.0,0.00,,2.5,3.2962E+13,1.154,?,633,Pallene
MN,370017,0.0191,0.175,311.847,67.936,89.307,131.2810391,61.951,30.782,40.543,83.540,2451545.0,0.00,,1.3,4.4949E+12,2.737,?,634,Polydeuces
MN,136504,0.0000,0.003,266.931,132.867,113.790,597.0906666,2168.675,1077.844,40.583,83.538,2451545.0,0.00,,3.8,7.7911E+13,0.594,?,635,Daphnis
MN,15513448,0.2524,166.668,242.651,179.064,26.017,0.3156396,1.314,1.028,270.000,66.561,2451544.5,14.85,,3.0,0.0000E+00,1117.830,0.040,636,Aegir
MN,9102289,0.4682,35.101,358.141,199.128,168.045,0.4241636,1.522,1.052,270.000,66.561,2451544.5,14.55,,3.0,0.0000E+00,834.860,0.040,637,Bebhionn
MN,16590288,0.1420,158.557,133.400,202.164,306.494,0.3528801,1.001,0.847,270.000,66.561,2451544.5,14.65,,3.0,0.0000E+00,1005.760,0.040,638,Bergelmir
MN,9811470,0.5145,145.136,81.185,288.308,239.156,0.3241217,1.263,1.204,270.000,66.561,2451544.5,14.25,,3.5,0.0000E+00,1088.020,0.040,639,Bestla
MN,15467854,0.2414,156.520,342.995,135.109,282.813,0.3256796,1.088,0.962,270.000,66.561,2451544.5,15.15,,2.5,0.0000E+00,1086.650,0.040,640,Farbauti
MN,19429446,0.1347,164.963,120.982,226.595,131.678,0.2791132,1.301,1.081,270.000,66.561,2451544.5,15.45,,2.0,0.0000E+00,1260.350,0.040,641,Fenrir
MN,19923176,0.2077,170.372,324.787,259.946,214.499,0.2328579,1.609,1.346,270.000,66.561,2451544.5,15.05,,3.0,0.0000E+00,1494.090,0.040,642,Fornjot
MN,12496972,0.3710,165.808,21.286,324.380,163.640,0.3394412,1.372,1.059,270.000,66.561,2451544.5,14.85,,3.0,0.0000E+00,1040.180,0.040,643,Hati
MN,12246004,0.3359,151.536,273.076,45.402,291.841,0.3812723,0.958,0.886,270.000,66.561,2451544.5,13.95,,3.0,0.0000E+00,931.870,0.040,644,Hyrrokkin
MN,11585569,0.4756,156.067,163.935,281.211,286.021,0.2844439,1.573,1.333,270.000,66.561,2451544.5,14.35,,3.0,0.0000E+00,1231.180,0.040,645,Kari
MN,18765414,0.1862,167.689,32.821,343.811,337.237,0.2674004,1.430,1.171,270.000,66.561,2451544.5,15.05,,3.0,0.0000E+00,1311.370,0.040,646,Loge
MN,9477115,0.4636,161.010,193.115,296.623,44.965,0.4038033,1.256,0.975,270.000,66.561,2451544.5,14.95,,3.0,0.0000E+00,878.240,0.040,647,Skoll
MN,12711608,0.4459,169.688,303.662,236.537,136.191,0.2688861,1.774,1.386,270.000,66.561,2451544.5,15.25,,3.0,0.0000E+00,1297.120,0.040,648,Surtur
MN,196671,0.0011,0.015,138.902,287.852,190.473,344.9612460,583.468,292.208,40.583,83.537,2451544.5,0.00,,0.9,1.4983E+12,1.036,?,649,Anthe
MN,15138699,0.2178,163.649,237.422,22.519,198.750,0.3518820,1.152,0.907,270.000,66.561,2451544.5,15.15,,3.0,0.0000E+00,1006.940,0.040,650,Jarnsaxa
MN,12650428,0.3146,174.800,152.160,349.350,314.541,0.3780778,1.285,0.933,270.000,66.561,2451544.5,14.85,,3.0,0.0000E+00,937.140,0.040,651,Greip
MN,14953365,0.1675,46.291,34.767,83.291,161.020,0.4039484,0.402,0.607,270.000,66.561,2451544.5,14.35,,3.0,0.0000E+00,885.150,0.040,652,Tarqeq
MN,167392,0.0002,0.001,152.905,317.202,322.771,441.1872753,1049.563,523.256,40.584,83.537,2451544.5,0.00,,0.3,5.9931E+10,0.808,?,653,Aegaeon
MN,15650738,0.1870,163.90,271.40,330.80,197.00,0.354184,1.593625,0.882569,270.000,66.561,2451545.0,15.8,,2.0,6.50000E+13,997.332,,654,Gridr
MN,16143736,0.2160,177.70,104.20,279.10,263.00,0.318423,1.886792,0.999167,270.000,66.561,2451545.0,16.1,,2.0,3.40000E+13,1103.199,,655,Angrboda
MN,12074886,0.4370,175.60,68.10,177.70,68.90,0.296531,2.360656,1.455133,270.000,66.561,2451545.0,15.5,,2.0,6.50000E+13,1172.722,,656,Skrymir
MN,10117643,0.5170,174.40,307.20,260.40,49.50,0.306934,2.443992,1.615074,270.000,66.561,2451545.0,15.9,,2.0,3.40000E+13,1131.906,,657,Gerd
MN,22261168,0.1470,172.90,148.40,328.80,193.60,0.218134,2.535211,1.316752,270.000,66.561,2451545.0,15.7,,2.5,6.50000E+13,1574.254,,658,S/2004 S 26
MN,16728998,0.1570,165.00,130.10,84.50,111.70,0.337944,1.644587,0.893300,270.000,66.561,2451545.0,15.4,,3.0,1.10000E+14,1043.804,,659,Eggther
MN,8787909,0.4850,38.60,309.50,157.90,244.10,0.427591,0.941915,0.869355,270.000,66.561,2451545.0,15.7,,2.5,6.50000E+13,832.274,,660,S/2004 S 29
MN,18902478,0.0870,158.90,263.50,258.70,191.70,0.316673,1.634877,0.918133,270.000,66.561,2451545.0,16.1,,2.0,3.40000E+13,1112.269,,661,Beli
MN,15835208,0.2510,160.40,24.70,293.30,311.40,0.306201,1.714286,1.010668,270.000,66.561,2451545.0,15.7,,2.0,6.50000E+13,1147.735,,662,Gunnlod
MN,11529398,0.5110,158.80,303.20,73.10,334.70,0.254609,2.484472,1.787488,270.000,66.561,2451545.0,15.9,,2.0,3.40000E+13,1351.832,,663,Thiazzi
MN,17409122,0.2790,168.30,354.50,292.60,160.00,0.246123,2.531646,1.430843,270.000,66.561,2451545.0,16.1,,2.0,3.40000E+13,1400.930,,664,S/2004 S 34
MN,16759276,0.2380,177.40,188.10,321.80,38.30,0.286808,2.094241,1.122195,270.000,66.561,2451545.0,15.6,,3.0,6.50000E+13,1217.804,,665,Alvaldi
MN,10261583,0.5390,154.40,349.60,127.90,202.20,0.280457,2.031603,1.567944,270.000,66.561,2451545.0,15.9,,2.0,3.40000E+13,1240.047,,666,Geirrod
MN,14715061,0.1590,48.00,253.90,82.50,261.80,0.414038,0.463320,0.510421,270.000,66.561,2451545.0,15.6,,2.5,6.50000E+13,863.923,,65067,S/2004 S 31
MN,21681188,0.0710,37.40,338.40,354.00,122.10,0.264414,1.256983,0.932160,270.000,66.561,2451545.0,16.0,,2.0,3.40000E+13,1331.322,,65070,S/2004 S 24
MN,18389222,0.1590,167.90,191.90,128.80,95.80,0.289781,2.008929,1.071429,270.000,66.561,2451545.0,15.8,,2.5,6.50000E+13,1207.183,,65077,S/2004 S 28
MN,14035505,0.3940,153.20,174.90,112.30,198.70,0.264618,1.913876,1.341782,270.000,66.561,2451545.0,16.2,,2.0,3.40000E+13,1316.117,,65079,S/2004 S 21
MN,8771550,0.6250,153.30,213.40,212.70,132.00,0.257068,2.470830,2.070155,270.000,66.561,2451545.0,16.2,,2.0,3.40000E+13,1335.804,,65081,S/2004 S 36
MN,8807878,0.4480,158.20,72.40,135.30,187.60,0.472531,1.264933,0.869986,270.000,66.561,2451545.0,15.9,,2.0,3.40000E+13,752.547,,65082,S/2004 S 37
MN,20873160,0.1000,165.90,223.30,168.90,83.80,0.264337,2.064220,1.095224,270.000,66.561,2451545.0,16.1,,2.0,3.40000E+13,1318.742,,65084,S/2004 S 39
MN,10429196,0.5110,164.80,54.90,323.80,116.90,0.299340,2.215385,1.518987,270.000,66.561,2451545.0,15.5,,2.5,6.50000E+13,1162.926,,65085,S/2004 S 7
