Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Feature_Type_Code,Origin,
"Lavoisier N","Lavoisier N","Moon",25.21,41.9,277.66,SF,"Antoine Laurent; French chemist (1743-1794). ",
"Lavoisier S","Lavoisier S","Moon",24.62,39.05,276.92,SF,"Antoine Laurent; French chemist (1743-1794). ",
"Lavoisier T","Lavoisier T","Moon",18.57,36.5,283.38,SF,"Antoine Laurent; French chemist (1743-1794). ",
"Lavoisier W","Lavoisier W","Moon",16.2,36.82,278.15,SF,"Antoine Laurent; French chemist (1743-1794). ",
"Lavoisier Z","Lavoisier Z","Moon",12.45,36.12,273.71,SF,"Antoine Laurent; French chemist (1743-1794). ",
"Lawrence","Lawrence","Moon",24.02,7.35,43.3,AA,"Ernest Orlando; American physicist; Nobel laureate (1901-1958), and Robert Henry, Jr.; American astronaut (1935-1967).",
"Laxness","Laxness","Mercury",25.89,83.27,309.96,AA,"Halldór Kiljan; Icelandic writer (1902-1998).",
"Laylá","Layla","Mars",19.36,-61.11,107.12,AA,"Town in Saudi Arabia. ",
"Layl Cavus","Layl Cavus","Mars",48.4,-10.4,261.4,CB,"Arabic word for night.",
"Lazarus","Lazarus","Venus",24.2,-52.9,127.2,AA,"Emma; American poet (1849-1887).",
"L. Clark","L  Clark","Moon",15.3,-43.34,212.3,AA,"Laurel Blair Salton; American astronaut, Space Shuttle Columbia Mission Specialist (1961-2003). ",
"Leah","Leah","Venus",12,-34.2,187.8,AA,"Hebrew first name.",
"Leakey","Leakey","Moon",12.48,-3.19,37.46,AA,"Louis Seymour Bazett; British archaeologist (1903-1972).",
"Leander","Leander","Eros",1.4,25.6,149.7,AA,"Lover of Hero, swam to her across Hellespont every night and drowned; in despair, Hero drowned herself.",
"Lear","Lear","Oberon",126,-5.4,31.5,AA,"Shakespearean hero in ""King Lear.""",
"Leavitt","Leavitt","Moon",69.31,-44.86,220.11,AA,"Henrietta Swan; American astronomer (1868-1921).",
"Leavitt Z","Leavitt Z","Moon",63.59,-42.57,220.44,SF,"Henrietta Swan; American astronomer (1868-1921).",
"Lebedev","Lebedev","Moon",121.8,-46.8,107.89,AA,"Pëtr Nikolajevich; Russian physicist (1866-1912).",
"Lebedeva","Lebedeva","Venus",37.4,45.2,49.8,AA,"Sarah; Soviet sculptor (1881-1968).",
"Lebedev C","Lebedev C","Moon",35.86,-45.63,111.37,SF,"Pëtr Nikolajevich; Russian physicist (1866-1912).",
"Lebedev D","Lebedev D","Moon",32.26,-45.16,113.05,SF,"Pëtr Nikolajevich; Russian physicist (1866-1912).",
"Lebedev F","Lebedev F","Moon",20.68,-47.95,111.28,SF,"Pëtr Nikolajevich; Russian physicist (1866-1912).",
"Lebedev K","Lebedev K","Moon",20.99,-50.02,109.36,SF,"Pëtr Nikolajevich; Russian physicist (1866-1912).",
"Lebedinskiy","Lebedinskiy","Moon",63.39,7.84,195.11,AA,"Aleksandr I.; Soviet astrophysicist (1913-1967).",
"Lebedinskiy A","Lebedinskiy A","Moon",35.8,10.45,195.85,SF,"Aleksandr I.; Soviet astrophysicist (1913-1967).",
