OC,00 47 30.00,+85 15 30.0,,,+8.10,,,,II2r,15.00,,,C 1,NGC 188,
PN,00 13 01.00,+72 31 21.0,,,+12.30,+10.70,,,PN,1.23,,,Bow Tie Nebula,C 2,NGC 40,
GX,12 16 43.30,+69 27 49.0,,,+9.60,+10.10,4.260E+06,,SBdm,21.90,7.20,162.0,C 3,NGC 4236,UGC 7306,
BN,21 01 35.50,+68 10 10.0,,,,+7.10,,,EN+OCL,10.00,8.00,,Iris Nebula,C 4,NGC 7023,
GX,03 46 48.40,+68 05 44.0,,,+8.40,+9.10,3.600E+06,+30.9,SBc,21.40,20.90,168.0,C 5,IC 342,UGC 2847,
PN,17 58 33.40,+66 38 01.0,,,+8.10,+8.80,,,PN,0.33,,,Cat Eye Nebula,C 6,NGC 6543,
GX,07 36 50.60,+65 36 06.0,,,+8.50,+8.90,3.580E+06,+131.0,SBc,23.40,11.80,127.0,C 7,NGC 2403,UGC 3918,
OC,01 29 31.00,+63 18 06.0,,,+9.50,,,,II2m,7.00,,,C 8,NGC 559,
OC,01 46 17.00,+61 13 06.0,,,+7.10,,,,III2m,15.00,,,C 10,NGC 663,
BN,23 20 45.00,+61 12 42.0,,,,+11.00,,,EN,15.00,8.00,,Bubble Nebula,C 11,NGC 7635,
GX,20 34 52.10,+60 09 12.0,,,+8.80,+9.60,5.960E+06,+39.9,SBc,11.50,9.80,57.0,Fireworks Galaxy,C 12,NGC 6946,UGC 11597,
OC,01 19 33.00,+58 17 42.0,,,+6.40,,,,I3r,20.00,,,Owl Cluster,C 13,NGC 457,
GX,02 15 58.50,-00 42 46.0,,,+13.90,+14.90,1.134E+08,+7937.6,E-S0,1.30,1.00,95.0,Double Cluster,C 14,NGC 868,UGC 1748,
PN,19 44 48.20,+50 31 32.0,,,+8.80,+9.80,,,PN,0.60,,,Blinking Planetary Nebula,C 15,NGC 6826,
OC,22 15 08.50,+49 53 51.0,,,+6.40,,,,IV2p,30.00,,,C 17,NGC 7243,
GX,00 38 57.60,+48 20 14.0,,,+9.20,+10.10,6.700E+05,-202.1,E3,8.00,7.00,35.0,C 18,NGC 185,UGC 396,
BN,21 53 24.00,+47 15 60.0,,,,,,,EN+OCL,10.00,10.00,,Cocoon Nebula,C 19,IC 5146,
BN,20 59 18.00,+44 31 00.0,,,+5.00,+4.00,,,EN,120.00,100.00,,North America Nebula,C 20,NGC 7000,
GX,12 28 11.30,+44 05 42.0,,,+9.60,+10.00,3.690E+06,+206.8,IBm,6.20,4.40,45.0,C 21,NGC 4449,UGC 7592,
PN,23 25 53.90,+42 32 08.0,,,+8.30,+9.20,,,PN,0.62,,,Blue Snowball,C 22,NGC 7662,
GX,02 22 33.00,+42 20 50.0,,,+9.90,+10.80,1.020E+07,+527.5,Sb,11.70,1.60,22.0,C 23,NGC 891,UGC 1831,
GX,03 19 48.10,+41 30 41.0,,,+11.90,+12.60,7.270E+07,+5217.8,S0/P,2.30,1.60,110.0,Perseus A,C 24,NGC 1275,UGC 2669,
GC,07 38 08.50,+38 52 57.0,,,+10.30,,,,II,4.60,,,Intergalactic Wanderer,C 25,NGC 2419,
GX,12 17 29.90,+37 48 28.0,,,+10.40,+10.90,4.630E+06,+244.2,Sc,16.60,1.90,48.0,C 26,NGC 4244,UGC 7322,
BN,20 12 06.50,+38 21 18.0,,,,+10.00,,,EN,18.00,13.00,,Crescent Nebula,C 27,NGC 6888,
OC,01 57 35.00,+37 50 00.0,,,+5.70,,,,III1m,75.00,,,C 28,NGC 752,
GX,13 10 56.10,+37 03 31.0,,,+9.80,+10.60,1.987E+07,+944.7,SBbc,5.80,2.90,65.0,C 29,NGC 5005,UGC 8256,
GX,22 37 05.10,+34 25 13.0,,,+9.50,+10.40,1.394E+07,+814.9,Sbc,10.20,4.20,171.0,C 30,NGC 7331,UGC 12113,
BN,05 16 29.40,+34 21 22.0,,,,+10.00,,,EN,30.00,20.00,,Flaming Star Nebula,C 31,IC 405,
GX,12 42 07.60,+32 32 30.0,,,+9.20,+9.80,6.050E+06,+605.3,SBcd,15.20,2.80,86.0,Whale Galaxy,C 32,NGC 4631,UGC 7865,
BN,20 56 18.00,+31 44 30.0,,,,+7.00,,,SNR,60.00,8.00,,Veil Nebula,C 33,NGC 6992,
BN,20 45 42.00,+30 43 00.0,,,,+7.00,,,SNR,70.00,6.00,,Veil Nebula,C 34,NGC 6960,
GX,13 00 08.30,+27 58 35.0,,,+11.50,+12.50,1.018E+08,+6424.7,E3,2.80,2.00,80.0,C 35,NGC 4884,NGC 4889,UGC 8110,
GX,12 35 57.80,+27 57 35.0,,,+10.00,+10.50,8.520E+06,+806.0,SBc,10.70,4.40,150.0,C 36,NGC 4559,UGC 7766,
OC,20 11 58.00,+26 29 00.0,,,+8.10,,,,III2p,20.00,,,C 37,NGC 6882,NGC 6885,
GX,12 36 20.50,+25 59 16.0,,,+9.60,+10.40,1.289E+07,+1227.5,Sb,15.80,2.10,136.0,Needle Galaxy,C 38,NGC 4565,UGC 7772,
PN,07 29 10.80,+20 54 45.0,,,+9.10,+9.90,,,PN,0.90,,,Clown Face Nebula,Eskimo Nebula,C 39,NGC 2392,
GC,21 01 29.50,+16 11 17.0,,,+10.60,,,,I,3.60,,,C 42,NGC 7006,
GX,00 03 14.80,+16 08 43.0,,,+10.60,+11.60,1.717E+07,+1048.0,Sab,5.50,2.30,135.0,C 43,NGC 7814,UGC 8,
GX,23 04 56.70,+12 19 20.0,,,+10.90,+11.60,3.385E+07,+2371.5,SBc,4.00,3.10,25.0,C 44,NGC 7479,UGC 12343,
GX,13 37 32.00,+08 53 10.0,,,+10.30,+11.00,1.920E+07,+1148.7,SBbc,6.20,4.50,122.0,C 45,NGC 5248,UGC 8616,
BN,06 39 09.50,+08 44 40.0,,,,,,,EN+RN,3.00,1.00,,Hubble's Variable Nebula,C 46,NGC 2261,
GC,20 34 11.60,+07 24 17.0,,,+8.90,,,,VIII,7.10,,,C 47,NGC 6934,
GX,09 10 20.10,+07 02 14.0,,,+10.10,+11.00,1.700E+07,+1346.9,Sab,4.30,3.30,155.0,C 48,NGC 2775,UGC 4820,
BN,06 30 54.60,+05 02 52.0,,,,,,,EN,80.00,50.00,,Rosette Nebula,C 49,NGC 2237,
