328.614,47.259,1
328.617,47.343,1
328.589,47.408,1
328.501,47.465,1
328.387,47.495,1
328.266,47.501,1
328.090,47.475,1
327.969,47.474,1
327.792,47.513,1
327.663,47.571,1
327.536,47.606,1
327.430,47.634,1
327.367,47.640,1
327.354,47.601,1
327.368,47.563,1
327.231,47.554,1
327.092,47.586,1
326.935,47.600,1
326.877,47.667,1
326.920,47.750,1
327.052,47.764,1
327.160,47.803,1
327.268,47.856,1
327.251,47.922,1
327.162,47.974,1
327.124,47.998,1
327.067,48.066,1
326.992,48.089,1
326.908,48.074,1
326.815,48.074,1
326.716,48.063,1
326.610,48.004,1
326.589,47.959,1
326.438,47.923,1
326.291,47.932,1
326.189,47.936,1
326.133,47.910,1
326.096,47.848,1
326.118,47.791,1
326.149,47.728,1
326.086,47.738,1
326.013,47.771,1
325.963,47.822,1
325.904,47.851,1
325.806,47.830,1
325.794,47.796,1
325.786,47.744,1
325.817,47.716,1
325.773,47.695,1
325.734,47.610,1
325.837,47.544,1
325.929,47.549,1
325.985,47.561,1
325.999,47.525,1
326.029,47.501,1
326.127,47.480,1
326.248,47.463,1
326.383,47.464,1
326.516,47.474,1
326.616,47.480,1
326.672,47.503,1
326.759,47.519,1
326.879,47.475,1
326.977,47.420,1
327.126,47.400,1
327.282,47.420,1
327.353,47.454,1
327.472,47.463,1
327.573,47.466,1
327.680,47.457,1
327.720,47.408,1
327.798,47.362,1
327.931,47.322,1
327.995,47.248,1
328.065,47.189,1
328.139,47.125,1
328.252,47.099,1
328.351,47.082,1
328.472,47.088,1
328.485,47.131,1
328.500,47.173,1
328.558,47.215,1
328.624,47.235,1
0.000,0.000,1
85.292,-2.409,2
85.287,-2.425,2
85.266,-2.430,2
85.251,-2.419,2
85.260,-2.405,2
85.251,-2.394,2
85.244,-2.394,2
85.223,-2.416,2
85.226,-2.437,2
85.235,-2.457,2
85.255,-2.471,2
85.280,-2.476,2
85.307,-2.485,2
85.353,-2.480,2
85.401,-2.491,2
85.446,-2.503,2
85.485,-2.480,2
85.501,-2.405,2
85.483,-2.334,2
85.462,-2.300,2
85.415,-2.298,2
85.374,-2.344,2
85.353,-2.391,2
85.310,-2.401,2
246.198,-23.233,3
246.162,-23.307,3
246.128,-23.399,3
246.134,-23.491,3
246.134,-23.563,3
246.134,-23.635,3
246.191,-23.746,3
246.225,-23.715,3
246.248,-23.643,3
246.276,-23.569,3
246.282,-23.505,3
246.240,-23.485,3
246.212,-23.437,3
246.206,-23.360,3
246.219,-23.248,3
200.795,-62.879,4
200.597,-62.874,4
200.427,-62.876,4
200.248,-62.919,4
200.139,-62.995,4
200.111,-63.072,4
200.005,-63.148,4
199.894,-63.228,4
199.855,-63.337,4
199.946,-63.482,4
200.018,-63.570,4
200.041,-63.701,4
200.007,-63.780,4
199.943,-63.876,4
199.951,-63.991,4
200.078,-64.079,4
200.130,-64.133,4
200.054,-64.193,4
199.883,-64.269,4
199.695,-64.403,4
199.656,-64.524,4
199.561,-64.588,4
199.461,-64.595,4
199.298,-64.555,4
199.309,-64.213,4
