OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 482 DESCENT CRAFT,1972-023E,2024-03-11T09:49:59.621376,14.43089095,.0785226,52.0020,42.9562,117.7853,250.4937,0,U,6073,999,68743,.17291E-3,.87335E-3,.83471E-5
ISS (ZARYA),1998-067A,2024-03-09T15:17:50.261856,15.49767933,0.0005822,51.6415,88.7723,345.2173,152.1479,0,U,25544,999,44311,.25229E-3,.13857E-3,0
NAVSTAR 43 (USA 132),1997-035A,2024-03-09T01:32:28.792032,2.00565406,0.0076346,55.6372,131.0458,52.3905,308.378,0,U,24876,999,19530,0,.37E-6,0
STARLINK-3329,2022-001AA,2024-04-01T07:32:05.671392,15.08846395,.0001419,53.2153,104.6514,92.0517,268.0638,0,U,50827,999,12488,.14452E-3,.2013E-4,0
INMARSAT 3-F2,1996-053A,2024-04-02T03:44:09.747168,0.99979663,.0006701,8.0143,61.6161,335.3919,94.9844,0,U,24307,999,10089,0,.12E-6,0
