Type,RA,Dec,pmRA,pmDec,V,B,Dist,RV,Morph,Maj,Min,PA,IDs,Names
PN,01 42 18.10,+51 34 17.0,,,10.1,12.2,1.20E+03,,PN,3.12,,,M 76;NGC 650;NGC 651;PK 130-10.1;PNG 130.9-10.5,Little Dumbbell Nebula
GX,02 42 40.80,-00 00 46.0,,,8.9,9.6,1.35E+07,1135,Sb/P,7.1,6,70,M 77;NGC 1068;PGC 10266;UGC 2188,Cetus A
BN,05 46 45.00,+00 04 48.0,,,,8,4.15E+02,,RN,8,6,,M 78;NGC 2068,
GC,05 24 10.60,-24 31 25.0,,,7.7,,1.29E+04,205.8,F5,9.6,,,M 79;NGC 1904,
GC,16 17 02.50,-22 58 28.0,,,7.3,,1.00E+04,8.1,F6,10,,,M 80;NGC 6093,
GX,09 55 33.50,+69 04 02.0,,,6.9,7.9,3.69E+06,-33.9,Sb,24.9,11.5,157,M 81;NGC 3031;PGC 28630;UGC 5318,Bode's Galaxy
GX,09 55 54.00,+69 40 59.0,,,8.4,9.3,3.78E+06,202.9,Sd,11.2,4.3,65,M 82;NGC 3034;PGC 28655;UGC 5322,Cigar Galaxy;Ursa Major A
GX,13 37 00.20,-29 52 02.0,,,7.5,8.2,6.96E+06,512.5,Sc,12.9,11.5,44,M 83;NGC 5236;PGC 48082;UGCA 366,Southern Pinwheel Galaxy
GX,12 25 03.60,+12 53 13.0,,,9.1,10.1,1.68E+07,1058.2,E1,6.5,5.6,135,M 84;NGC 4374;PGC 40455;UGC 7494,Markarian's Chain
GX,12 25 23.90,+18 11 27.0,,,9.1,10,1.71E+07,728.2,S0-a,7.1,5.5,5,M 85;NGC 4382;PGC 40515;UGC 7508,
GX,12 26 11.50,+12 56 47.0,,,8.9,9.8,1.62E+07,-244.1,E3,8.9,5.8,130,M 86;NGC 4406;PGC 40653;UGC 7532,Markarian's Chain
GX,12 30 49.40,+12 23 26.0,,,8.6,9.6,1.68E+07,1304.2,E2/P,8.3,6.6,170,M 87;NGC 4486;PGC 41361;UGC 7654,Virgo A
GX,12 31 59.00,+14 25 11.0,,,9.6,10.4,1.91E+07,2272.4,Sb,6.8,3.7,140,M 88;NGC 4501;PGC 41517;UGC 7675,
GX,12 35 39.90,+12 33 22.0,,,9.8,10.7,1.56E+07,339.8,E0,3.5,3.5,,M 89;NGC 4552;PGC 41968;UGC 7760,
GX,12 36 50.00,+13 09 50.0,,,9.5,10.3,1.24E+07,-235.1,SBab,9.5,4.4,23,M 90;NGC 4569;PGC 42089;UGC 7786,
GX,12 35 26.40,+14 29 47.0,,,10.2,11,1.62E+07,485.6,SBb,5.2,4.2,150,M 91;NGC 4548;PGC 41934;UGC 7753,
GC,17 17 07.30,+43 08 13.0,,,6.5,,8.30E+03,-120,F2,14,,,M 92;NGC 6341,
OC,07 44 30.00,-23 51 24.0,-0.00024,0.0033,6.2,,1.04E+03,22,IV1p,10,,,M 93;NGC 2447,
GX,12 50 53.10,+41 07 17.0,,,8.2,9,5.13E+06,307.7,Sab,14.4,12.1,117,M 94;NGC 4736;PGC 43495;UGC 7996,
GX,10 43 57.80,+11 42 12.0,,,9.7,10.5,1.01E+07,777,SBb,7.4,5,13,M 95;NGC 3351;PGC 32007;UGC 5850,
GX,10 46 45.80,+11 49 12.0,,,9.3,10.1,1.09E+07,895.6,SBab,7.8,5.2,176,M 96;NGC 3368;PGC 32192;UGC 5882,
PN,11 14 47.70,+55 01 10.0,,,9.9,12,4.65E+02,,PN,2.83,,,M 97;NGC 3587;PK 148+57.1;PNG 148.4+57.0,Owl Nebula
GX,12 13 47.80,+14 53 58.0,,,10.1,11,1.60E+07,-142.1,SBb,9.8,2.8,155,M 98;NGC 4192;PGC 39028;UGC 7231,
GX,12 18 49.30,+14 25 03.0,,,9.9,10.4,1.54E+07,2397.4,Sc,5.3,4.6,51,M 99;NGC 4254;PGC 39578;UGC 7345,
GX,12 22 54.90,+15 49 22.0,,,9.4,10.1,1.59E+07,1566.8,SBbc,7.5,6.1,30,M 100;NGC 4321;PGC 40153;UGC 7450,
GX,14 03 12.40,+54 20 58.0,,,7.9,8.3,6.92E+06,240.9,Sc,28.8,26.9,26,M 101;NGC 5457;PGC 50063;UGC 8981,Pinwheel Galaxy
GX,15 06 29.40,+55 45 49.0,,,9.9,10.7,1.47E+07,671.4,S0-a,6.5,3.1,128,M 102;NGC 5866;PGC 53933;UGC 9723,Spindle Galaxy
OC,01 33 23.00,+60 39 30.0,-0.00022,0.0007,7.4,,2.19E+03,-44.2,III2p,6,,,M 103;NGC 581,
GX,12 39 59.30,-11 37 21.0,,,8,9,1.04E+07,1022.3,Sa,8.6,4.2,89,M 104;NGC 4594;PGC 42407;UGCA 293,Sombrero Galaxy
GX,10 47 49.50,+12 34 52.0,,,9.3,10.2,1.04E+07,909.7,E1,5.3,4.8,71,M 105;NGC 3379;PGC 32256;UGC 5902,
GX,12 18 57.80,+47 18 25.0,,,8.4,9.1,7.44E+06,447.6,SBbc,18.6,7.2,150,M 106;NGC 4258;PGC 39600;UGC 7353,
GC,16 32 31.90,-13 03 11.0,,,7.8,,6.40E+03,-34.1,G0,13,,,M 107;NGC 6171,
GX,11 11 29.40,+55 40 22.0,,,10,10.7,1.43E+07,698.3,Sc,8.6,2.4,80,M 108;NGC 3556;PGC 34030;UGC 6225,
GX,11 57 35.40,+53 22 25.0,,,9.8,10.6,2.49E+07,1046.2,SBbc,7.5,4.4,68,M 109;NGC 3992;PGC 37617;UGC 6937,
GX,00 40 22.10,+41 41 07.0,,,8.1,8.9,8.00E+05,-241.1,E5,19.5,11.5,170,M 110;NGC 205;PGC 2429;UGC 426,
