Type,RA,Dec,pmRA,pmDec,V,B,Dist,RV,Morph,Maj,Min,PA,IDs,Names
GX,13 23 45.20,+31 33 55.0,,,+11.90,+12.90,6.850E+07,+4822.6,E2,2.80,2.20,75.0,NGC 5127;PGC 46809;UGC 8419,
GX,13 24 10.00,+13 58 36.0,,,+12.10,+13.00,7.985E+07,+6806.9,E2,1.70,1.40,10.0,NGC 5129;PGC 46836;UGC 8423,
GX,13 24 27.20,-10 12 37.0,,,+13.40,+14.40,8.190E+07,+5756.6,S0,0.90,0.50,40.0,NGC 5130;PGC 46866,
GX,13 23 57.00,+30 59 15.0,,,+13.50,+14.40,9.353E+07,+6564.5,Sa,2.10,0.30,81.0,NGC 5131;PGC 46819;UGC 8422,
GX,13 24 28.90,+14 05 33.0,,,+13.20,+14.10,1.031E+08,+7230.7,SB0-a,1.30,0.90,54.0,NGC 5132;PGC 46868;UGC 8428,
GX,13 24 52.90,-04 04 55.0,,,+13.70,+14.70,8.640E+07,+6069.3,E-S0,1.00,0.70,42.0,NGC 5133;PGC 46909,
GX,13 25 18.50,-21 08 05.0,,,+11.30,+12.10,1.104E+07,+1751.9,SBb,2.80,1.70,155.0,NGC 5134;PGC 46938,
GX,13 25 44.00,-29 50 01.0,,,+12.10,+12.90,5.784E+07,+4077.0,SBab,2.60,1.80,29.0,NGC 5135;PGC 46974,
GX,13 24 51.40,+13 44 17.0,,,+14.00,+15.00,9.372E+07,+6578.3,E1,0.70,0.60,78.0,NGC 5136;IC 888;PGC 46905,
GX,13 24 52.50,+14 04 37.0,,,+15.10,+15.90,1.015E+08,+7117.5,S,0.60,0.30,117.0,NGC 5137;PGC 46907,
OC,13 27 16.00,-59 02 30.0,-0.00103,-0.0015,+7.60,,1.986E+03,-9.5,II2p,8.00,,,NGC 5138,
GX,13 26 21.70,-33 52 07.0,,,+11.80,+12.80,4.210E+07,+3853.9,E/SB0,2.10,1.70,33.0,NGC 5140;PGC 47031,
GX,13 24 51.40,+36 22 44.0,,,+12.80,+13.80,7.341E+07,+5164.8,S0,1.30,1.00,80.0,NGC 5141;PGC 46906;UGC 8433,
GX,13 25 01.20,+36 23 59.0,,,+13.30,+14.20,7.914E+07,+5564.3,S0,1.00,0.70,5.0,NGC 5142;PGC 46919;UGC 8435,
GX,13 25 01.40,+36 26 15.0,,,+15.80,+16.40,8.178E+07,+5747.8,SBd,0.70,0.40,97.0,NGC 5143;PGC 46918,
GX,13 22 53.90,+70 30 53.0,,,+13.10,+13.40,4.448E+07,+3140.5,Sc/P,1.20,0.80,150.0,NGC 5144A;PGC 46742;UGC 8420,
GX,13 22 53.50,+70 30 36.0,,,+15.00,+16.00,4.417E+07,+3118.5,C,0.20,0.20,,NGC 5144B;PGC 200298;UGC 8420,
GX,13 25 13.90,+43 16 02.0,,,+12.60,+13.40,3.935E+07,+1222.4,Sb,2.00,1.80,90.0,NGC 5145;PGC 46934;UGC 8439,
GX,13 26 37.40,-12 19 24.0,,,+12.60,+13.60,9.412E+07,+6605.6,E-S0,1.90,1.30,35.0,NGC 5146;PGC 47055,
GX,13 26 19.60,+02 06 01.0,,,+11.80,+12.30,2.160E+07,+1086.0,SBd,1.90,1.60,120.0,NGC 5147;PGC 47027;UGC 8443,
GX,13 26 38.80,+02 18 49.0,,,+14.20,+14.90,9.459E+07,+6638.7,SBcd,0.70,0.70,,NGC 5148;PGC 47060,
GX,13 26 09.10,+35 56 04.0,,,+12.90,+13.70,7.963E+07,+5598.7,SBbc,1.60,0.90,155.0,NGC 5149;PGC 47011;UGC 8444,
GX,13 27 36.40,-29 33 45.0,,,+11.80,+12.60,5.473E+07,+3859.0,SBbc,1.30,1.00,115.0,NGC 5150;PGC 47169,
GX,13 26 40.80,+16 52 26.0,,,+13.90,+14.70,1.151E+08,+8055.7,S,0.80,0.80,,NGC 5151;PGC 47056,
GX,13 27 51.50,-29 37 09.0,,,+12.40,+13.20,8.670E+07,+4137.0,SBb,2.10,0.70,117.0,NGC 5152;PGC 47187,
GX,13 27 54.30,-29 37 04.0,,,+11.80,+12.80,4.445E+07,+4289.8,E1/P,2.00,1.40,175.0,NGC 5153;PGC 47194,
GX,13 26 28.60,+36 00 38.0,,,+13.80,+14.50,7.861E+07,+5527.2,Sc,1.40,1.20,56.0,NGC 5154;PGC 47041;UGC 8447,
SS,13 28 18.00,-63 28 00.0,,,,,,,*Cloud,,,,NGC 5155,
GX,13 28 44.20,-48 55 00.0,,,+11.70,+12.50,3.950E+07,+2973.1,SBb,2.50,2.00,110.0,NGC 5156;PGC 47283,
GX,13 27 16.80,+32 01 51.0,,,+13.30,+14.20,1.032E+08,+7232.7,SBa,1.30,0.90,111.0,NGC 5157;PGC 47131;UGC 8455,
GX,13 27 46.90,+17 46 44.0,,,+12.80,+13.60,9.316E+07,+6539.0,SBab,1.30,1.20,126.0,NGC 5158;PGC 47180;UGC 8459,
GX,13 28 16.10,+02 59 01.0,,,+14.20,+14.90,8.860E+07,+6217.2,Scd,1.40,0.40,162.0,NGC 5159;PGC 47235;UGC 8460,
SS,13 28 21.60,+05 59 45.0,,,,,,,*2,,,,NGC 5160,
GX,13 29 13.70,-33 10 28.0,,,+11.20,+12.00,2.346E+07,+2379.5,Sc,5.60,2.30,77.0,NGC 5161;PGC 47321;UGCA 359,
GX,13 26 54.10,+52 45 15.0,,,+13.60,+14.60,1.257E+08,+8789.4,E4,1.10,0.70,10.0,NGC 5163;PGC 47096;UGC 8453,
GX,13 27 11.90,+55 29 13.0,,,+13.70,+14.50,1.017E+08,+7130.9,SBb,1.00,0.90,27.0,NGC 5164;PGC 47124;UGC 8458,
GX,13 28 39.10,+11 23 15.0,,,+13.70,+14.70,9.709E+07,+6811.9,S0,0.80,0.50,174.0,NGC 5165;PGC 47281,
GX,13 28 33.10,+32 04 09.0,,,+14.80,+15.60,6.840E+07,+4815.5,Sb,0.50,0.30,92.0,NGC 5166B;PGC 47268,
GX,13 28 15.00,+32 01 56.0,,,+13.50,+14.30,6.548E+07,+4611.1,Sb,2.30,0.40,67.0,NGC 5166;NGC 5166A;PGC 47234;UGC 8463,
GX,13 28 40.20,+12 42 41.0,,,+13.80,+14.50,1.062E+08,+7445.3,Sc,0.90,0.90,,NGC 5167;PGC 47277,
OC,13 31 07.20,-60 56 21.0,-0.00054,-0.0030,+9.10,,1.777E+03,,I3p,4.00,,,NGC 5168,
GX,13 28 10.00,+46 40 20.0,,,+13.50,+14.30,4.355E+07,+2426.2,SBbc,2.10,0.80,103.0,NGC 5169;PGC 47231;UGC 8465,
GX,13 29 48.80,-17 57 55.0,,,+11.10,+12.10,2.879E+07,+1497.0,Sc,8.20,1.00,127.0,NGC 5170;PGC 47394;PGC 47396;UGCA 360,
GX,13 29 21.60,+11 44 07.0,,,+12.80,+13.70,9.691E+07,+6799.3,E-S0,1.10,0.80,10.0,NGC 5171;PGC 47339;UGC 8476,
GX,13 29 19.00,+17 03 06.0,,,+11.90,+12.60,5.790E+07,+4003.0,SBbc,3.40,1.80,103.0,NGC 5172;PGC 47330;UGC 8477,
GX,13 28 25.20,+46 35 32.0,,,+12.20,+13.20,3.800E+07,+2409.3,E1,1.00,0.90,117.0,NGC 5173;PGC 47257;UGC 8468,
GX,13 29 25.90,+11 00 28.0,,,+13.00,+13.70,9.165E+07,+6757.1,Sc,2.70,1.40,160.0,NGC 5162;NGC 5174;PGC 47346;UGC 8475,
SS,13 29 31.00,+11 02 30.0,,,,+12.60,,,*,,,,NGC 5175,
GX,13 29 24.90,+11 46 55.0,,,+14.40,+15.40,1.000E+08,+7015.1,E0,0.50,0.50,,NGC 5176;PGC 47338,
GX,13 29 24.20,+11 47 48.0,,,+14.60,+15.50,9.111E+07,+6396.8,S?,0.70,0.20,135.0,NGC 5177;PGC 47337,
GX,13 29 29.30,+11 37 30.0,,,+13.80,+14.70,8.737E+07,+6136.8,S0-a,1.20,0.70,95.0,NGC 5178;PGC 47358;UGC 8478,
GX,13 29 30.80,+11 44 47.0,,,+14.20,+15.10,1.019E+08,+7146.7,S?,0.70,0.40,45.0,NGC 5179;PGC 47363,
GX,13 29 26.90,+16 49 33.0,,,+13.00,+14.00,9.457E+07,+6636.9,S0,1.40,1.00,25.0,NGC 5180;PGC 47352;UGC 8479,
GX,13 29 41.90,+13 18 16.0,,,+13.90,+14.90,1.067E+08,+7474.5,S0,0.90,0.80,54.0,NGC 5181;PGC 47373,
GX,13 30 41.60,-28 09 01.0,,,+12.40,+13.30,6.157E+07,+4338.2,SBbc,1.90,1.30,11.0,NGC 5182;PGC 47489,
GX,13 30 06.10,-01 43 14.0,,,+12.70,+13.50,6.044E+07,+4259.3,Sb,1.90,0.80,122.0,NGC 5183;PGC 47432;UGC 8485,
GX,13 30 11.40,-01 39 49.0,,,+12.80,+13.50,6.153E+07,+3964.6,SBc,2.00,1.20,135.0,NGC 5184;PGC 47438;UGC 8487,
GX,13 30 02.20,+13 24 58.0,,,+13.60,+14.40,1.134E+08,+7281.3,Sb,1.80,0.70,58.0,NGC 5185;PGC 47422;UGC 8488,
GX,13 30 03.90,+12 10 31.0,,,+14.80,+15.60,1.888E+08,+13103.5,S,0.40,0.30,30.0,NGC 5186;PGC 47426,
GX,13 29 48.20,+31 07 48.0,,,+13.40,+14.20,1.010E+08,+7086.2,Sb,1.30,0.80,48.0,NGC 5187;PGC 47393,
GX,13 31 27.90,-34 47 42.0,,,+12.10,+13.00,3.290E+07,+2415.2,SBbc/P,3.00,1.10,104.0,NGC 5188;PGC 47549,
PN,13 33 32.90,-65 58 25.0,,,,+8.20,1.266E+03,,PN,2.33,,,NGC 5189;IC 4274;PK 307-03.1;PNG 307.2-03.4,
GX,13 30 38.40,+18 08 04.0,,,+13.20,+14.00,5.826E+07,+4106.5,SBb,1.00,0.80,159.0,NGC 5190;PGC 47482;UGC 8500,
GX,13 30 47.30,+11 12 05.0,,,+14.10,+14.90,9.164E+07,+6433.5,Sb,0.90,0.70,84.0,NGC 5191;PGC 47498,
GX,13 30 51.70,-01 46 44.0,,,+14.10,+15.00,1.524E+08,+10622.9,Sa,0.60,0.30,26.0,NGC 5192;PGC 47503,
GX,13 31 49.10,-33 14 23.0,,,+13.00,+14.00,4.958E+07,+3498.3,S0,0.90,0.30,47.0,NGC 5193A;PGC 47568,
GX,13 31 53.50,-33 14 05.0,,,+11.60,+12.50,4.484E+07,+3688.2,E0,1.50,1.50,,NGC 5193;PGC 47582,
GX,13 29 59.20,+47 16 03.0,,,+9.60,+10.50,8.600E+06,+464.6,SB0-a,5.90,4.60,79.0,NGC 5195;PGC 47413;UGC 8494,
GX,13 31 19.60,-01 36 52.0,,,+14.20,+15.20,9.144E+07,+6419.7,E-S0,0.80,0.70,97.0,NGC 5196;PGC 47540,
GX,13 31 25.00,-01 41 33.0,,,+15.10,+16.00,9.034E+07,+6343.4,S0-a,0.60,0.30,150.0,NGC 5197;PGC 47546,
GX,13 30 11.40,+46 40 15.0,,,+11.80,+12.70,4.240E+07,+2522.2,E1,2.00,1.70,0.0,NGC 5198;PGC 47441;UGC 8499,
GX,13 30 42.70,+34 49 52.0,,,+13.60,+14.60,1.010E+08,+7080.3,S0,0.90,0.90,,NGC 5199;PGC 47492;UGC 8504,
SS,13 31 42.40,-00 01 47.0,,,,,,,*2,,,,NGC 5200,
GX,13 29 16.20,+53 04 54.0,,,+13.20,+14.10,1.240E+08,+8669.0,S?,1.70,1.10,145.0,NGC 5201;PGC 47324;UGC 8480,
GX,13 32 00.50,-01 41 55.0,,,+14.50,+15.30,9.131E+07,+6410.9,Sb,1.30,0.30,0.0,NGC 5202;PGC 47589,
GX,13 32 13.40,-08 47 11.0,,,+12.60,+13.60,9.482E+07,+6654.5,E-S0,1.80,1.10,85.0,NGC 5203;PGC 47610,
GX,13 29 36.10,+58 25 06.0,,,+11.30,+11.70,5.150E+06,+200.8,Sm,5.00,3.00,5.0,NGC 5204;PGC 47368;UGC 8490,
GX,13 30 03.10,+62 30 45.0,,,+12.30,+13.10,2.931E+07,+1760.9,Sb,3.20,1.80,166.0,NGC 5205;PGC 47425;UGC 8501,
GX,13 33 43.80,-48 09 07.0,,,+10.90,+11.90,2.580E+06,+570.6,SB0,3.80,3.30,37.0,NGC 5206;PGC 47762,
GX,13 32 13.90,+13 53 29.0,,,+13.20,+14.00,1.074E+08,+7553.4,Sb,1.70,1.00,140.0,NGC 5207;PGC 47612;UGC 8518,
GX,13 32 27.90,+07 19 01.0,,,+13.10,+14.10,9.526E+07,+6684.7,S0,1.70,0.60,162.0,NGC 5208;PGC 47637;UGC 8519,
GX,13 32 42.50,+07 19 40.0,,,+13.00,+14.00,9.932E+07,+6966.2,E2,1.20,1.00,,NGC 5209;PGC 47654;UGC 8522,
GX,13 32 49.40,+07 10 12.0,,,+12.90,+13.80,9.674E+07,+6787.5,Sa,1.40,1.20,15.0,NGC 5210;PGC 47678;UGC 8523,
GX,13 33 05.30,-01 02 09.0,,,+12.30,+13.10,5.231E+07,+3689.9,SBab,2.10,1.60,30.0,NGC 5211;PGC 47709;UGC 8530,
GX,13 32 56.10,+07 17 17.0,,,+14.30,+15.10,1.069E+08,+7490.0,S,0.40,0.30,110.0,NGC 5212;PGC 47687,
GX,13 34 39.20,+04 07 51.0,,,+14.00,+14.80,9.680E+07,+6791.9,SBb,0.90,0.80,132.0,NGC 5213;PGC 47842;UGC 8552,
GX,13 32 47.20,+41 51 54.0,,,+15.00,+15.80,1.153E+08,+8074.4,Sbc,0.60,0.20,30.0,NGC 5214A;PGC 47679,
GX,13 32 48.50,+41 52 20.0,,,+13.60,+14.30,1.138E+08,+7968.2,Sc,1.10,0.80,140.0,NGC 5214;PGC 47675;UGC 8531,
GX,13 35 06.60,-33 28 52.0,,,+13.20,+14.20,5.467E+07,+3854.8,S0,0.60,0.40,105.0,NGC 5215A;PGC 47879;PGC 47883,
GX,13 35 09.70,-33 29 02.0,,,+12.90,+13.90,5.654E+07,+3986.2,S0,1.20,0.50,80.0,NGC 5215B;PGC 47887;PGC 47888,
GX,13 34 41.50,+61 59 35.0,,,+13.30,+14.10,4.595E+07,+3063.1,S,1.20,0.30,67.0,NGC 5216A;PGC 47854;UGC 8571,
GX,13 32 07.10,+62 42 03.0,,,+12.60,+13.60,5.235E+07,+2924.8,E3,1.80,1.20,28.0,NGC 5216;PGC 47598;UGC 8528,Keenan's System,
GX,13 34 05.90,+17 51 26.0,,,+12.60,+13.60,1.134E+08,+7939.1,E1,1.50,1.40,36.0,NGC 5217;PGC 47793;UGC 8546,
GX,13 32 10.20,+62 46 05.0,,,+12.30,+13.10,5.080E+07,+2918.5,SBb/P,1.80,1.30,100.0,NGC 5218;PGC 47603;UGC 8529,Keenan's System,
GX,13 35 56.70,-33 27 16.0,,,+12.00,+12.90,5.911E+07,+4165.6,Sa,2.40,0.70,97.0,NGC 5220;PGC 47972,
GX,13 34 56.20,+13 49 57.0,,,+13.00,+13.80,9.445E+07,+6897.7,Sb,1.60,0.80,104.0,NGC 5221;PGC 47869;UGC 8559,
GX,13 34 55.90,+13 44 28.0,,,+13.10,+14.10,9.662E+07,+6779.3,E3,1.60,1.10,33.0,NGC 5222;PGC 47871;UGC 8558,
GX,13 34 25.10,+34 41 26.0,,,+13.00,+14.00,1.015E+08,+7118.4,E1,1.50,1.30,168.0,NGC 5223;PGC 47822;UGC 8553,
GX,13 35 08.80,+06 28 54.0,,,+14.00,+14.80,9.610E+07,+6743.3,S,0.70,0.70,,NGC 5224;PGC 47884,
GX,13 33 20.00,+51 29 27.0,,,+13.60,+14.40,6.508E+07,+4583.3,S,0.70,0.70,,NGC 5225;PGC 47731;UGC 8540,
GX,13 35 03.60,+13 55 17.0,,,+15.80,+16.60,1.034E+08,+7251.5,S,0.30,0.10,24.0,NGC 5226;PGC 47877,
GX,13 35 24.70,+01 24 38.0,,,+13.10,+13.70,7.383E+07,+5194.3,SBb,1.80,1.60,40.0,NGC 5227;PGC 47915;UGC 8566,
GX,13 34 35.10,+34 46 40.0,,,+13.30,+14.30,1.086E+08,+7606.9,E-S0,1.00,0.90,9.0,NGC 5228;PGC 47837;UGC 8556,
GX,13 34 02.90,+47 54 52.0,,,+13.70,+14.40,5.770E+06,+363.7,SBcd,3.30,0.50,167.0,NGC 5229;PGC 47788;UGC 8550,
GX,13 35 32.10,+13 40 31.0,,,+12.10,+12.80,3.017E+07,+6773.8,SBc,1.90,1.90,,NGC 5230;PGC 47932;UGC 8573,
GX,13 35 48.30,+02 59 56.0,,,+13.40,+14.30,9.191E+07,+6452.2,SBa,1.10,0.90,112.0,NGC 5231;PGC 47953;UGC 8574,
GX,13 36 08.20,-08 29 52.0,,,+12.40,+13.30,9.742E+07,+6834.4,S0-a,1.50,1.40,110.0,NGC 5232;PGC 47998,
GX,13 35 13.40,+34 40 38.0,,,+13.90,+14.70,1.118E+08,+7831.1,Sab,1.40,0.70,80.0,NGC 5233;PGC 47895;UGC 8568,
GX,13 37 29.80,-49 50 14.0,,,+13.00,+13.90,5.189E+07,+3660.0,SB0,1.30,0.80,48.0,NGC 5234;PGC 48129,
GX,13 36 01.40,+06 35 06.0,,,+14.20,+15.00,8.965E+07,+6507.9,SBbc,1.20,0.50,120.0,NGC 5235;PGC 47984;UGC 8582,
GX,13 37 38.90,-42 50 52.0,,,+12.50,+13.20,3.720E+06,+360.7,E?,2.00,1.60,115.0,NGC 5237;PGC 48139,
GX,13 34 42.60,+51 36 50.0,,,+13.30,+13.90,4.860E+06,+234.9,Sd,1.50,1.20,160.0,NGC 5238;PGC 47853;UGC 8565,
GX,13 36 26.30,+07 22 11.0,,,+12.80,+13.60,9.922E+07,+6959.7,SBbc,1.80,1.20,13.0,NGC 5239;PGC 48023;UGC 8589,
GX,13 35 55.10,+35 35 18.0,,,+13.10,+13.80,4.900E+07,+2225.7,SBc,1.90,1.40,60.0,NGC 5240;PGC 47971;UGC 8587,
GX,13 36 39.90,-08 24 06.0,,,+12.90,+13.80,9.122E+07,+6404.1,Sab,1.10,0.50,55.0,NGC 5241;PGC 48043,
NO,13 37 07.30,+02 46 14.0,,,,,,,NF,,,,NGC 5242,
GX,13 36 15.10,+38 20 36.0,,,+13.20,+14.00,5.924E+07,+4175.4,Sbc,1.50,0.40,126.0,NGC 5243;PGC 48011;UGC 8592,
GX,13 38 41.80,-45 51 17.0,,,+12.60,+13.40,3.268E+07,+2524.9,Sb,1.30,0.80,17.0,NGC 5219;NGC 5244;PGC 48236,
GX,13 37 23.20,+03 53 53.0,,,+14.20,+15.00,9.649E+07,+6770.3,S,0.80,0.30,90.0,NGC 5245;PGC 48110,
GX,13 37 29.30,+04 06 16.0,,,+13.60,+14.40,9.767E+07,+6852.3,SBb,1.00,0.80,63.0,NGC 5246;PGC 48128;UGC 8612,
GX,13 38 02.90,-17 53 05.0,,,+10.00,+10.50,2.220E+07,+1352.0,SBbc,5.40,4.90,20.0,NGC 5247;PGC 48171;UGCA 368,
GX,13 37 37.50,+15 58 20.0,,,+12.90,+13.90,1.081E+08,+7573.0,S0,1.60,1.20,170.0,NGC 5249;PGC 48134;UGC 8618,
GX,13 36 07.10,+51 14 11.0,,,+13.00,+14.00,6.376E+07,+4490.9,S0,1.00,0.90,120.0,NGC 5250;PGC 47997;UGC 8594,
GX,13 37 24.80,+27 25 09.0,,,+13.90,+14.80,1.548E+08,+10787.6,S0-a,0.70,0.70,,NGC 5251;PGC 48119,
GX,13 38 15.90,+04 32 33.0,,,+13.00,+14.00,9.704E+07,+6808.6,S0,1.40,0.90,10.0,NGC 5252;PGC 48189;UGC 8622,
GX,13 39 55.80,-31 38 30.0,,,+10.40,+10.90,3.670E+06,+406.8,S/P,5.00,1.90,45.0,NGC 5253;PGC 48334;UGCA 369,
GX,13 39 38.00,-11 29 39.0,,,+12.00,+12.70,3.221E+07,+2304.6,Sc,3.20,1.50,125.0,NGC 5254;PGC 48307,
GX,13 37 17.90,+57 06 35.0,,,+14.50,+15.40,9.803E+07,+6877.2,S?,0.80,0.20,24.0,NGC 5255;PGC 48124,
GX,13 38 17.40,+48 16 39.0,,,+13.20,+14.00,1.177E+08,+8236.8,Sab/P,1.20,1.10,30.0,NGC 5256;PGC 48192;UGC 8632,
GX,13 39 52.80,+00 50 25.0,,,+12.40,+12.90,9.578E+07,+6721.0,SBb/P,1.60,0.80,121.0,NGC 5257;PGC 48330;UGC 8641,
GX,13 39 57.80,+00 49 54.0,,,+12.30,+12.90,9.520E+07,+6680.9,SBb,1.40,0.90,22.0,NGC 5258;PGC 48338;UGC 8645,
GX,13 39 24.60,+30 59 28.0,,,+14.20,+15.20,2.576E+08,+17726.3,E4,1.10,0.70,108.0,NGC 5259;PGC 48292,
GX,13 40 19.80,-23 51 30.0,,,+12.80,+13.60,9.161E+07,+6431.4,SBbc,1.60,1.40,,NGC 5260;PGC 48371,
